"Name","Count","Chance","Weight","Comment"
,,,,
"5 to 10 time","--","--","--",
"minecraft:enchanted_golden_apple","1..2","1.2%","1/82",
"minecraft:music_disc_otherside","1","1.2%","1/82",
"minecraft:compass","1","2.4%","2/82",
"minecraft:sculk_catalyst","1..2","2.4%","2/82",
"minecraft:name_tag","1","2.4%","2/82",
"minecraft:diamond_hoe","1","2.4%","2/82","enchantments: {levels: 30..50, treasure: true}"
"minecraft:lead","1","2.4%","2/82",
"minecraft:diamond_horse_armor","1","2.4%","2/82",
"minecraft:saddle","1","2.4%","2/82",
"minecraft:music_disc_13","1","2.4%","2/82",
"minecraft:music_disc_cat","1","2.4%","2/82",
"minecraft:diamond_leggings","1","2.4%","2/82","enchantments: {levels: 30..50, treasure: true}"
"minecraft:enchanted_book","1","3.7%","3/82","enchantments: swift_sneak"
"minecraft:sculk","4..10","3.7%","3/82",
"minecraft:sculk_sensor","1..3","3.7%","3/82",
"minecraft:candle","1..4","3.7%","3/82",
"minecraft:amethyst_shard","1..15","3.7%","3/82",
"minecraft:experience_bottle","1..3","3.7%","3/82",
"minecraft:glow_berries","1..15","3.7%","3/82",
"minecraft:iron_leggings","1","3.7%","3/82","enchantments: {levels: 20..39, treasure: true}"
"minecraft:echo_shard","1..3","4.9%","4/82",
"minecraft:potion","1..3","6.1%","5/82","regeneration (strong)"
"minecraft:enchanted_book","1","6.1%","5/82","enchantments: *"
"minecraft:book","3..10","6.1%","5/82",
"minecraft:bone","1..15","6.1%","5/82",
"minecraft:soul_torch","1..15","6.1%","5/82",
"minecraft:coal","6..15","8.5%","7/82",
